item_code,item_name,brand,sku,invoice_alias,upc_barcode,size,items_per_case,cases_on_hand,standard_price,buying_price,price_status
BEAN-0040,Shahia Whole Fava Beans,Shahia,,,0000000050006,50 LB,1,,,,NO PRICE
SNACK-0011,Sohar Chips Potato Chips (Family Size),Sohar Chips,,,9501100018342,15 g,1,3.0,,,NO PRICE
PICKLE-0046,Sultan 100% Extra Virgin Koura Olive Oil 4 x 3 QT/2.85 L,Sultan,,,74265023357,3 QT/2.85 L,4,33.0,,,NO PRICE
GEN-0072,Sultan Foule Mudammas,Sultan,,,10074265002533,14.8 oz,1,5.0,,,NO PRICE
PICKLE-0047,Supremo Italiano Giardinera,Supremo Italiano,,,760695003020,1 GAL,4,43.0,,,NO PRICE
GEN-0073,Tam Tam Tomato,Tam Tam,,,*8500459277760,120 g,14,,,,NO PRICE
BEV-0034,Tea Break Karak Tea Chai,Tea Break,,,6223000274491,25 g,1,9.0,,,NO PRICE
NUT-0012,The Raisin Company (TRC) Golden Raisins (Bulk),The Raisin Company (TRC),,,,30 LB,1,,,,NO PRICE
SNACK-0012,Today Starwberry Croissant,Today,,,8693029911161,45 g,1,26.0,,,NO PRICE
GEN-0074,Torani Mango Real Fruit Smoothie Mix,Torani,,,90010212A30925,64 oz,6,1.0,,,NO PRICE
GEN-0082,Ziyad Brand Medium Couscous,Ziyad Brand,,,10074265003019,2 LB,12,2.0,,,NO PRICE
