Brand,Description,UPC,"Cases 
On Hand","Items
 Case/Unit",Size,Amount Taken,Date Taken,Our Cost
Freez Mix,Lemon & Mint,762571312103,2,4X6,275 ml,,,
Golden,Premium Dry Chickpeas,19175062003,3,1,50 LB,,,
Golden Barrel,Sugar Free Pancake/Waffle Syrup,77391128002,3,1,1 GAL,,,
Golden Brand,Garlic in Brine,19175052172,1,12,20 oz,,,
Golden Brand,Pickled Cucumbers Mini 92-110 PCS,191750514586,4,6,3 KG,,,
Golden Brand,Pickled Cucumbers 30-36 PCS,19175051434,4,6,3 KG,,,
Golden Brand,Pickled Cucumbers 13-17 PCS,19175011292,14,12,540 g,,,
Golden Brand,Pickled Cucumbers 7-9 PCS,19175083152,16,12,670 g,,,
Golden Brand,Spicy Green Cracked Olives,19175098989,1,12,1.25 KG,,,
Golden Brand,Green Cracked Olives,19175031238,4,12,1.25 KG,,,
Golden Harvest,Giardinera,19175030118,0,12,720 ml,,,
Golden Harvest,Lombardi Hot Peppers,19175057412,1,12,720 ml,,,
Golden Harvest,Green Olives from Jerash,19175056712,7.25,4,3.5 KG,,,
Golden Harvest,Green Olives,19175101870,1,12,1000 g,,,
Habash,Walnut Halves & Pieces,890854001359,1,25,12 oz,,,
Habash,Blanched Almond Halves,890854001168,1,25,12 oz,,,
Habash,Sesame Seeds Hulled,890854001038,2,25,12 oz,,,
Habash,Shawarma Beef Spices (Bulk),,1,1,22 LB,,,
Habash,Chicken Shawarma Spices (Bulk),,2,1,22 LB,,,
Habash,Large Dried Fava/Broad Beans,8908540110130,1,25,16 oz,,,
Habash,Ground Coriander,18227513548,6,6X1,6 oz,,,
Habash,Cinnamon Sticks,18227513487,6,6X1,6 oz,,,
Habash,Ground Ginger,18227513678,6,16,7 oz,,,
Habash,Citric Acid,18227513494,7,6X1,12 oz,,,
Habash,Cumin Seeds,18227513555,6,6X1,6 oz,,,
Habash,Whole Black Pepper,18227513821,6,6X1,6 oz,,,
Habash,Whole Cardamom Green,18227513449,12,6X1,7 oz,,,
Habash,Whole Coriander,18227513319,11,6X1,6 oz,,,
Habash,Red Hot Pepper,18227513845,1,6X1,7 oz,,,
Habash,Whole Cloves,18227513517,6,6X1,6 oz,,,
Habash,Red Crushed Pepper,18227513838,6,6X1,6 oz,,,
