item_code,item_name,items_per_case,current_price,cost,ratio,proposed_price,price_row_name
GHEE-0003,CRYSTAL GHEE,4,8.05,28.0,3.48,32.2,915mgphdls
OLIOI-0003,Durra olive oil 2,4,28.75,100.0,3.48,115.0,lo7k12sg93
SPICE-7497,Habash ground cinnamon,6,0.001,0.0,3.0,0.01,32q45r3o7t
SYRRO-0001,POMEGRANTE MOLASSES  11LB,3,34.5,90.0,2.61,103.5,o1kl6r5fbu
SAUPA-0002,PEPPER PASTE PAIL,2,34.5,60.0,1.74,69.0,pur9gjf8ep
APETI-0192,"Uludag Gazoz Orange 24x8.5fl oz (250ml) Bottle, glass",24,0.72,0.9,1.25,17.28,5j9eqb3kaj
APETI-0194,"Uludag Gazoz Plain 24x8.5fl oz (250ml) Bottle, glass",24,0.72,0.9,1.25,17.28,5jjho44mmo
APETI-0092,Gullon Cookies Lady Finger (Spain),6,3.24,3.96,1.22,19.44,4v3pqs1po9
APETI-0215,Ziyad Clove Powder,12,5.08,5.61,1.1,60.96,5mpvqr8jom
APETI-0219,Ziyad Dired Sage,12,3.22,3.49,1.08,38.64,5nck140i9c
APETI-0287,California Garden Foul Medammas,24,0.98,1.04,1.06,23.52,630119uqkp
