Brand,Description,UPC,Cases On Hand,items Per Case/Unit,Size,Amount Taken,Date Taken,
Ulker ,Tea Biscuits,806796913377,79,5,1 KG,,,
Vimto,Fruit Flavor Drink,74265021261,24,8,2 L,,,
Vimto,Saudi Vimto Syrup,10074265020438,46,12,24 oz,,,
Vimto,Sparkling Fruit Flavor Drink (Cans),10074265005992,32,24,330 ml,,,
Vimto,Fruit Flavor Drink ,10074265001611,15,12,500 ml,,,
Wellmade,Tea Biscuit,822514250654,13,12,1000 g,,,
Yafa,Premium Egyptian Rice,783970097088,11,4,10 LB,,,
Yafa,Red Chili Paste,6253809450826,1,12,13.05 oz,,,
Yafa,Extra Virgin Olive Oil,697566061103,2,4,3 L,,,
Ziyad Brand,Tomato Paste,74265016311,24,12,700 g,,,
Ziyad Brand,Egypt's Best Rice,10074265017315,99,4,10 LB,,,
Ziyad Brand,Jameed Kishk,10074265005978,1,12,1 KG,,,
Ziyad Brand,Halal Marshmallows,74265010944,36,24,250 g,,,
Ziyad Brand,Filled Milk Powder,10074265001598,4,6,63.5 oz,,,
Ziyad Brand,Filled Milk Powder,10074265001529,3,12,31.7 oz,,,
Ziyad Brand,Filled Milk Powder,10074265001512,6,12,14.1 oz,,,
Ziyad Brand,Grape Leaves,10074265001994,7,12,2 LB,,,
Ziyad Brand,Coconut Macaroon,74265003472,1,12,12 oz,,,
Ziyad Brand,Red Lentils,10074265015847,0,12,2 LB,,,
Ziyad Brand,Medium Couscous,10074265003019,2,12,2 LB,,,
Ziyad Brand,Red Burghol Wheat Medium #2,10074265023262,2,12,2 LB,,,
Ziyad Brand,Orange Blossom Water,10074265005152,3,24,10 oz,,,
Ziyad Brand,Butter Ghee,10074265001581,5,12,28 oz,,,
Ziyad Brand,Nablus Green Cracked Olives,110074265016004,14,6,3 LB,,,
Ziyad Brand,Balady Green Cracked Olives,110074265000706,34,6,3 LB,,,
Ziyad Brand ,Rose Water,10074265005145,3,24,10 oz,,,
,Split Fava Beans,,1,1,10 LB,,,
